"","Ha1","Ha2","Ha3","Ctr1","Ctr2","Ctr3"
"PITA_19277",22.4341010180087,20.6879194173634,19.1886134314472,8.14645054992572,7.86534599544913,27.265814626751
"PITA_43071",12.8545761307568,12.3637861606728,14.760471870344,11.5860630043388,13.0761377174342,10.5251016948249
"PITA_43120",5.07632942743262,5.14137642325007,2.16486920765045,4.79735421273404,2.35960379863474,1.24312224742026
"PITA_19387",73.7705292599482,71.2447875793224,76.5576474341842,68.0681201504905,77.571974880117,103.51064580186
"PITA_38886",3.43880380568016,5.87585876942865,6.59301076875365,4.25425750940566,4.32594029749702,6.62998531957472
"PITA_15089",38.3999758300951,35.377566340935,34.1458915933958,37.3831564124369,35.295740154578,33.0670517813789
"PITA_43425",211.240805206067,207.736090244175,229.968151739959,248.19519342107,195.847115286683,246.801203521169
"PITA_26651",6.63197876809745,9.42585677595846,7.67544537257888,7.60335384659734,4.91584124715571,6.04986160411193
"PITA_19182",36.680573927255,29.6241212958695,30.0129594696995,38.9219304052007,39.5233636271319,35.2217970102407
"PITA_22837",2.62004099480393,0,4.72335099851008,2.62496739942051,4.62089077232636,1.74037114638836
"PITA_24393",49.6170263390994,47.2516976041554,48.315944588926,44.3528974384845,49.2567292965002,66.7971020947153
"PITA_06390",2.45628843262869,1.83620586544645,3.83772268628944,1.81032234442794,0.884851424488027,1.24312224742026
"PITA_04421",63.5359941239953,61.5741033546377,80.5921764120782,67.3439912127193,56.4338575173475,66.2169783792525
"PITA_02148",68.3666947081651,73.8154757909474,85.6107368479952,73.1370227148887,82.3894993023296,107.240012544121
"PITA_27922",10.4801639792157,9.30344305159537,14.6620687245417,8.59903113603271,10.323266619027,10.1107276123515
"PITA_17693",22.352224736921,42.3551486296315,37.5900016964761,20.7281908436999,0,24.5309456824265
"PITA_45756",10.2345351359529,5.75344504506555,11.7099743504729,8.14645054992572,13.8626723169791,5.38686307215446
"PITA_45207",12.1995658820558,6.48792739124414,3.83772268628944,11.4955468871174,6.88217774601799,1.32599706391494
"PITA_40230",10.643916541391,8.32413325669059,12.4971995168913,12.2196758248886,13.1744545423773,11.9339735752345
"PITA_38928",2.21065958936582,2.93792938471433,10.1355240176362,0.271548351664191,0.491584124715571,0.580123715462788
"PITA_26337",16.0477510931741,7.34482346178581,21.5502889307022,12.6722564109956,15.6323751659551,4.30949045772357
"PITA_43098",1098.45218707155,1154.361420744,1163.61719911212,1160.59765501275,988.968942102785,1239.89012957697
"PITA_14486",4.25756661655639,6.48792739124414,4.52654470690549,4.61632197829124,5.11247489704193,2.81774376081926
"PITA_38668",6.30447364374696,1.71379214108336,0,5.61199926772661,9.43841519453895,3.72936674226078
"PITA_15610",5.32195827069549,3.18275683344052,4.4281415611032,16.4739333342942,7.37376187073356,8.86760536493119
"PITA_26936",2.70191727589155,2.44827448726194,2.26327235345275,2.44393516497772,2.75287109840719,6.79573495256409
"PITA_15789",3.02942240024205,7.8344783592382,11.5131680588683,0,11.1098012185719,0
"PITA_02801",116.100566582249,111.886144067871,94.7622294076085,95.1324391996882,99.8898941422039,95.471788601876
"PITA_12799",1.8012781839277,1.83620586544645,2.46007864505733,3.0775479855275,1.08148507437426,2.15474522886178
