"","Ha1","Ha2","Ha3","Ctr1","Ctr2","Ctr3"
"PITA_16034",0,0,0,0,0,0
"PITA_01592",1,0,0,0,0,0
"PITA_15909",0,0,0,0,0,0
"PITA_27301",71,31,70,98,55,67
"PITA_35709",0,3,0,1,4,1
"PITA_27726",0,0,0,0,0,0
"PITA_10229",2439,1394,1885,1991,1816,2191
"PITA_33084",94,75,94,116,96,104
"PITA_36581",0,0,0,0,0,0
"PITA_28385",34,4,21,16,19,9
"PITA_08687",339,212,274,211,200,184
"PITA_26111",6,4,0,6,5,0
"PITA_48269",0,0,0,0,0,0
"PITA_18670",3,3,0,7,14,0
"PITA_46875",1,3,2,0,1,1
"PITA_24175",0,0,0,0,0,0
"PITA_22468",9,3,5,21,29,40
"PITA_05361",27,32,22,33,30,60
"PITA_08664",0,0,0,0,0,0
"PITA_19139",0,0,1,1,0,0
"PITA_49584",26,20,5,13,17,62
"PITA_40126",0,0,1,0,0,0
"PITA_19497",1084,765,871,736,1042,758
"PITA_09159",598,348,501,439,280,391
"PITA_02116",0,0,0,0,0,0
"PITA_31898",0,1,0,0,0,0
"PITA_15688",6,0,2,4,3,3
"PITA_08831",0,0,0,0,0,0
"PITA_29843",87,228,44,183,268,0
"PITA_51105",122,50,80,51,9,20
"PITA_25417",0,0,0,0,0,0
"PITA_36935",0,0,0,0,0,0
"PITA_16689",0,0,0,1,1,0
"PITA_02836",92,43,76,110,64,36
"PITA_13716",16,17,20,37,48,30
"PITA_13794",0,3,7,1,0,0
"PITA_32117",7,1,7,6,5,8
"PITA_13742",15,25,46,26,15,19
"PITA_22832",37,35,51,45,44,35
"PITA_25062",0,2,2,1,1,1
"PITA_08401",0,0,0,0,0,0
"PITA_18404",0,0,0,0,0,0
"PITA_26994",780,598,629,863,831,737
"PITA_17733",182,127,171,190,160,208
"PITA_27948",421,295,426,310,479,403
"PITA_38968",107,53,70,115,126,27
"PITA_14794",0,0,2,0,0,0
"PITA_19439",0,0,2,1,2,1
"PITA_39468",3,1,0,0,0,0
"PITA_07422",0,9,0,0,2,0
"PITA_10511",1,0,0,3,0,2
"PITA_07373",0,0,0,0,0,0
"PITA_10948",233,166,197,250,258,466
"PITA_26687",0,0,0,0,0,0
"PITA_47487",93,143,66,123,80,132
"PITA_38099",0,1,11,4,1,0
"PITA_27247",21,11,19,10,33,19
"PITA_43438",29,52,0,51,13,32
"PITA_38036",4,2,3,0,1,1
"PITA_03205",1,0,2,0,0,1
"PITA_34018",2,3,1,2,1,0
"PITA_27126",370,264,297,371,425,166
"PITA_12051",0,0,0,21,4,2
"PITA_02723",441,320,401,440,493,592
"PITA_16686",1073,695,936,863,685,924
"PITA_38992",0,0,0,0,0,0
"PITA_09760",0,0,0,0,3,0
"PITA_09143",0,0,0,0,0,0
"PITA_31680",362,210,308,330,328,421
"PITA_27490",0,0,0,0,0,0
"PITA_29841",185,124,179,182,188,264
"PITA_31888",5,6,0,3,2,2
"PITA_33044",0,0,0,0,0,0
"PITA_04928",0,0,0,0,0,1
"PITA_16613",7,13,9,10,17,17
"PITA_24885",24,25,29,73,15,14
"PITA_34388",2,0,0,2,0,1
"PITA_18350",0,8,5,9,0,0
"PITA_38586",0,0,0,0,0,0
"PITA_41158",12,8,12,15,12,25
"PITA_10294",926,654,864,845,842,998
"PITA_43889",0,0,0,0,0,0
"PITA_38619",4,4,6,17,3,6
"PITA_07587",1,4,0,3,1,8
"PITA_22218",2353,1536,1498,2988,2416,1979
"PITA_29700",5,0,7,0,0,0
"PITA_18476",4,0,0,2,2,2
"PITA_48079",0,4,0,0,0,11
"PITA_25567",0,0,0,0,0,0
"PITA_35806",56,49,22,53,11,30
"PITA_47584",0,0,0,0,0,0
"PITA_18174",156,65,125,125,127,81
"PITA_25343",942,254,509,614,480,169
"PITA_00696",2,3,4,4,1,1
"PITA_15981",0,0,0,0,0,0
"PITA_39738",671,491,512,597,715,745
"PITA_50711",1,0,0,0,0,0
"PITA_10368",0,0,0,0,0,0
"PITA_03622",11,3,4,0,2,4
"PITA_39725",103,49,83,90,146,27
"PITA_14103",0,2,2,1,6,1
"PITA_00365",11,9,17,30,11,11
"PITA_12903",23,10,4,20,9,4
"PITA_03146",1037,735,991,911,918,1182
"PITA_10048",21,11,14,12,21,24
"PITA_04859",56,31,44,47,71,53
"PITA_07671",33,34,23,30,40,61
"PITA_18297",11,12,12,16,16,26
"PITA_41969",0,0,0,0,0,0
"PITA_19523",0,0,1,72,0,2
"PITA_29669",185,106,88,97,61,22
"PITA_18661",3,10,1,0,5,0
"PITA_12610",0,0,0,0,0,0
"PITA_30653",0,0,0,0,0,0
"PITA_27908",55,22,37,43,59,19
"PITA_47130",2242,1262,2042,6607,2275,1493
"PITA_08787",56,0,42,26,27,8
"PITA_49686",0,0,0,0,0,0
"PITA_26195",51,28,103,33,17,16
"PITA_38243",2,2,5,1,4,2
"PITA_24770",91,72,101,98,59,103
"PITA_19643",0,1,4,0,0,4
"PITA_03529",43,46,42,33,89,96
"PITA_40370",47,22,30,11,34,7
"PITA_18913",1018,693,949,1070,824,1314
"PITA_33192",220,239,194,229,268,367
"PITA_24246",68,50,54,61,39,106
"PITA_24274",0,2,0,0,0,1
"PITA_44139",231,131,176,211,201,191
"PITA_07792",20,14,13,44,29,0
"PITA_28328",18,6,10,33,7,15
"PITA_21851",0,0,0,0,0,0
"PITA_47165",46,16,17,69,53,16
"PITA_48212",17,5,11,16,8,15
"PITA_15082",154,121,81,181,253,143
"PITA_38759",0,0,1,2,0,0
"PITA_00008",37,12,10,13,9,15
"PITA_13753",550,513,537,23,22,818
"PITA_12485",88,56,60,98,89,77
"PITA_15211",101,40,130,89,325,373
"PITA_14878",142,97,84,83,173,252
"PITA_41927",0,0,0,2,0,0
"PITA_44654",72,52,47,40,17,79
"PITA_30477",16,21,15,17,10,2
"PITA_36575",56,6,16,12,1,0
"PITA_21580",70,30,36,40,41,50
"PITA_50687",0,0,0,0,0,0
