files	inoculation	description
./data/Ha1.txt	Ha	H.annosum infection
./data/Ha2.txt	Ha	H.annosum infection
./data/Ha3.txt	Ha	H.annosum infection
./data/Sl1.txt	Sl	Suillus luteus inoculation
./data/Sl2.txt	Sl	Suillus luteus inoculation
./data/Sl3.txt	Sl	Suillus luteus inoculation
./data/SlHa1.txt	SlHa	coinfection
./data/SlHa2.txt	SlHa	coinfection
./data/SlHa3.txt	SlHa	coinfection
./data/Ctr1.txt	Ctr	Control
./data/Ctr2.txt	Ctr	Control
./data/Ctr3.txt	Ctr	Control
